,code,lat,lon,name,city,state,country,woeid,tz,phone,type,email,url,runway_length,elev,icao,direct_flights,carriers
92,AJR,65.592,19.2647,Arvidsjaur Airport,Arvidsjaur,Norrbotten,Sweden,22656498,Europe/Stockholm,0,Airports,BLANK,BLANK,,,ESNX,2,3
93,AJU,-10.985,-37.0733,Santa Maria Airport,Aracaju,Sergipe,Brazil,12511305,America/Belem,0,Airports,BLANK,BLANK,5372.0,26.0,SBAR,5,3
94,AKA,32.7026,108.912,Ankang Airport,Ankang,Shaanxi,China,12511979,Asia/Shanghai,0,Airports,BLANK,BLANK,,,ZLAK,1,1
95,AKB,52.2217,-174.204,Atka Airport,Atka,Alaska,United States,12518685,America/Adak,0,Airports,BLANK,BLANK,3100.0,33.0,BLANK,1,2
96,AKF,24.1819,23.3189,Kufra Airport,Kufrah,Al Kufrah,Libya,12514656,Africa/Tripoli,0,Airports,BLANK,BLANK,12007.0,1367.0,HLKF,1,2
97,AKI,60.8866,-161.218,Akiak Airport,Bethel,Alaska,United States,12524554,America/Anchorage,0,Airports,BLANK,BLANK,2000.0,22.0,BLANK,1,2
98,AKJ,43.665,142.453,Asahikawa Airport,Asahikawa-shi,Hokkaido Prefecture,Japan,28360516,Asia/Tokyo,0,Airports,BLANK,BLANK,6560.0,709.0,RJEC,4,5
99,AKK,56.95,-154.167,Akhiok Airport,Kodiak,Alaska,United States,12524555,America/Anchorage,0,Airports,BLANK,BLANK,2170.0,50.0,PAKH,1,1
100,AKL,-37.0085,174.782,Auckland International Airport,Manukau City,Auckland,New Zealand,12515151,Pacific/Auckland,+64 9 256 8899,Airports,BLANK,http://www.auckland-airport.co.nz/,10800.0,23.0,NZAA,52,35
101,AKN,58.6775,-156.655,King Salmon Airport,King Salmon,Alaska,United States,12520466,America/Anchorage,0,Airports,BLANK,BLANK,8500.0,57.0,PAKN,14,7
102,AKP,68.1916,-151.79,Anaktuvuk Pass Airport,Anaktuvuk Pass,Alaska,United States,12524556,America/Anchorage,0,Airports,BLANK,BLANK,5500.0,2100.0,PAKP,3,4
103,AKS,-27.6667,27.3167,Kroonstad Airport,Kroonstad,Free State,South Africa,12517431,Africa/Johannesburg,0,Airports,BLANK,BLANK,,,FAKS,1,1
